Axial Position x, Normalized Nozzle Radius r
-5.00,2.097618
-4.99,2.097618
-4.98,2.097618
-4.97,2.097618
-4.96,2.097618
-4.95,2.097618
-4.94,2.097618
-4.93,2.097618
-4.92,2.097618
-4.91,2.097618
-4.90,2.097618
-4.89,2.097618
-4.88,2.097618
-4.87,2.097618
-4.86,2.097618
-4.85,2.097618
-4.84,2.097618
-4.83,2.097618
-4.82,2.097618
-4.81,2.097618
-4.80,2.097618
-4.79,2.097618
-4.78,2.097618
-4.77,2.097618
-4.76,2.097618
-4.75,2.097618
-4.74,2.097618
-4.73,2.097618
-4.72,2.097618
-4.71,2.097618
-4.70,2.097618
-4.69,2.097618
-4.68,2.097618
-4.67,2.097618
-4.66,2.097618
-4.65,2.097618
-4.64,2.097618
-4.63,2.097618
-4.62,2.097618
-4.61,2.097618
-4.60,2.097618
-4.59,2.097618
-4.58,2.097618
-4.57,2.097618
-4.56,2.097618
-4.55,2.097618
-4.54,2.097618
-4.53,2.097618
-4.52,2.097618
-4.51,2.097618
-4.50,2.097618
-4.49,2.097618
-4.48,2.097618
-4.47,2.097618
-4.46,2.097618
-4.45,2.097618
-4.44,2.097618
-4.43,2.097618
-4.42,2.097618
-4.41,2.097618
-4.40,2.097618
-4.39,2.097618
-4.38,2.097618
-4.37,2.097618
-4.36,2.097618
-4.35,2.097618
-4.34,2.097618
-4.33,2.097618
-4.32,2.097618
-4.31,2.097618
-4.30,2.097618
-4.29,2.097618
-4.28,2.097618
-4.27,2.097618
-4.26,2.097618
-4.25,2.097618
-4.24,2.097618
-4.23,2.097618
-4.22,2.097618
-4.21,2.097618
-4.20,2.097618
-4.19,2.097618
-4.18,2.097618
-4.17,2.097618
-4.16,2.097618
-4.15,2.097618
-4.14,2.097618
-4.13,2.097618
-4.12,2.097618
-4.11,2.097618
-4.10,2.097618
-4.09,2.097618
-4.08,2.097618
-4.07,2.097618
-4.06,2.097618
-4.05,2.097618
-4.04,2.097618
-4.03,2.097618
-4.02,2.097618
-4.01,2.097618
-4.00,2.097618
-3.99,2.097618
-3.98,2.097618
-3.97,2.097618
-3.96,2.097618
-3.95,2.097618
-3.94,2.097618
-3.93,2.097618
-3.92,2.097618
-3.91,2.097618
-3.90,2.097618
-3.89,2.097618
-3.88,2.097618
-3.87,2.097618
-3.86,2.097618
-3.85,2.097618
-3.84,2.097618
-3.83,2.097618
-3.82,2.097618
-3.81,2.097618
-3.80,2.097618
-3.79,2.097618
-3.78,2.097618
-3.77,2.097618
-3.76,2.097618
-3.75,2.097618
-3.74,2.097618
-3.73,2.097618
-3.72,2.097618
-3.71,2.097618
-3.70,2.097618
-3.69,2.097618
-3.68,2.097618
-3.67,2.097618
-3.66,2.097618
-3.65,2.097618
-3.64,2.097618
-3.63,2.097618
-3.62,2.097618
-3.61,2.097618
-3.60,2.097618
-3.59,2.097618
-3.58,2.097618
-3.57,2.097618
-3.56,2.097618
-3.55,2.097618
-3.54,2.097618
-3.53,2.097618
-3.52,2.097618
-3.51,2.097618
-3.50,2.097618
-3.49,2.097618
-3.48,2.097618
-3.47,2.097618
-3.46,2.097618
-3.45,2.097618
-3.44,2.097618
-3.43,2.097618
-3.42,2.097618
-3.41,2.097618
-3.40,2.097618
-3.39,2.097618
-3.38,2.097618
-3.37,2.097618
-3.36,2.097618
-3.35,2.097618
-3.34,2.097618
-3.33,2.097618
-3.32,2.097618
-3.31,2.097618
-3.30,2.097618
-3.29,2.097618
-3.28,2.097618
-3.27,2.097618
-3.26,2.097618
-3.25,2.097618
-3.24,2.097618
-3.23,2.097618
-3.22,2.097618
-3.21,2.097618
-3.20,2.097618
-3.19,2.097618
-3.18,2.097618
-3.17,2.097618
-3.16,2.097618
-3.15,2.097618
-3.14,2.097618
-3.13,2.097618
-3.12,2.097618
-3.11,2.097618
-3.10,2.097618
-3.09,2.097618
-3.08,2.097618
-3.07,2.097618
-3.06,2.097618
-3.05,2.097618
-3.04,2.097618
-3.03,2.097618
-3.02,2.097618
-3.01,2.097618
-3.00,2.097618
-2.99,2.097618
-2.98,2.097618
-2.97,2.097618
-2.96,2.097618
-2.95,2.097618
-2.94,2.097618
-2.93,2.097618
-2.92,2.097618
-2.91,2.097618
-2.90,2.097618
-2.89,2.097618
-2.88,2.097618
-2.87,2.097618
-2.86,2.097618
-2.85,2.097618
-2.84,2.097618
-2.83,2.097618
-2.82,2.097618
-2.81,2.097618
-2.80,2.097618
-2.79,2.097618
-2.78,2.097618
-2.77,2.097618
-2.76,2.097618
-2.75,2.097618
-2.74,2.097618
-2.73,2.097618
-2.72,2.097618
-2.71,2.097618
-2.70,2.097618
-2.69,2.097618
-2.68,2.097618
-2.67,2.097618
-2.66,2.097618
-2.65,2.097618
-2.64,2.097618
-2.63,2.097618
-2.62,2.097618
-2.61,2.097618
-2.60,2.097618
-2.59,2.097618
-2.58,2.097618
-2.57,2.097618
-2.56,2.097618
-2.55,2.097618
-2.54,2.097618
-2.53,2.097618
-2.52,2.097618
-2.51,2.097618
-2.50,2.097618
-2.49,2.097618
-2.48,2.097618
-2.47,2.097618
-2.46,2.097618
-2.45,2.097618
-2.44,2.097618
-2.43,2.097618
-2.42,2.097618
-2.41,2.097618
-2.40,2.097618
-2.39,2.097618
-2.38,2.097618
-2.37,2.097618
-2.36,2.097618
-2.35,2.097618
-2.34,2.097618
-2.33,2.097618
-2.32,2.097618
-2.31,2.097618
-2.30,2.097618
-2.29,2.097618
-2.28,2.097618
-2.27,2.097618
-2.26,2.097618
-2.25,2.097618
-2.24,2.097618
-2.23,2.097618
-2.22,2.097618
-2.21,2.097618
-2.20,2.097618
-2.19,2.097618
-2.18,2.097618
-2.17,2.097618
-2.16,2.097618
-2.15,2.097618
-2.14,2.097618
-2.13,2.097618
-2.12,2.097618
-2.11,2.097618
-2.10,2.097618
-2.09,2.097618
-2.08,2.097618
-2.07,2.097618
-2.06,2.097618
-2.05,2.097618
-2.04,2.097618
-2.03,2.097618
-2.02,2.097618
-2.01,2.097618
-2.00,2.097618
-1.99,2.097618
-1.98,2.097618
-1.97,2.097618
-1.96,2.097618
-1.95,2.097618
-1.94,2.097618
-1.93,2.097618
-1.92,2.097532
-1.91,2.097127
-1.90,2.096386
-1.89,2.095308
-1.88,2.093889
-1.87,2.092123
-1.86,2.090005
-1.85,2.087527
-1.84,2.084679
-1.83,2.081451
-1.82,2.077828
-1.81,2.073797
-1.80,2.069338
-1.79,2.064430
-1.78,2.059048
-1.77,2.053162
-1.76,2.046776
-1.75,2.040282
-1.74,2.033788
-1.73,2.027293
-1.72,2.020799
-1.71,2.014305
-1.70,2.007811
-1.69,2.001317
-1.68,1.994823
-1.67,1.988329
-1.66,1.981835
-1.65,1.975341
-1.64,1.968847
-1.63,1.962353
-1.62,1.955859
-1.61,1.949365
-1.60,1.942871
-1.59,1.936376
-1.58,1.929882
-1.57,1.923388
-1.56,1.916894
-1.55,1.910400
-1.54,1.903906
-1.53,1.897412
-1.52,1.890918
-1.51,1.884424
-1.50,1.877930
-1.49,1.871436
-1.48,1.864942
-1.47,1.858448
-1.46,1.851953
-1.45,1.845459
-1.44,1.838965
-1.43,1.832471
-1.42,1.825977
-1.41,1.819483
-1.40,1.812989
-1.39,1.806495
-1.38,1.800001
-1.37,1.793507
-1.36,1.787013
-1.35,1.780519
-1.34,1.774025
-1.33,1.767530
-1.32,1.761036
-1.31,1.754542
-1.30,1.748048
-1.29,1.741554
-1.28,1.735060
-1.27,1.728566
-1.26,1.722072
-1.25,1.715578
-1.24,1.709084
-1.23,1.702590
-1.22,1.696096
-1.21,1.689602
-1.20,1.683107
-1.19,1.676613
-1.18,1.670119
-1.17,1.663625
-1.16,1.657131
-1.15,1.650637
-1.14,1.644143
-1.13,1.637649
-1.12,1.631155
-1.11,1.624661
-1.10,1.618167
-1.09,1.611673
-1.08,1.605179
-1.07,1.598684
-1.06,1.592190
-1.05,1.585696
-1.04,1.579202
-1.03,1.572708
-1.02,1.566214
-1.01,1.559720
-1.00,1.553226
-0.99,1.546732
-0.98,1.540238
-0.97,1.533744
-0.96,1.527250
-0.95,1.520756
-0.94,1.514261
-0.93,1.507767
-0.92,1.501273
-0.91,1.494779
-0.90,1.488285
-0.89,1.481791
-0.88,1.475297
-0.87,1.468803
-0.86,1.462309
-0.85,1.455815
-0.84,1.449321
-0.83,1.442827
-0.82,1.436333
-0.81,1.429839
-0.80,1.423344
-0.79,1.416850
-0.78,1.410356
-0.77,1.403862
-0.76,1.397368
-0.75,1.390874
-0.74,1.384380
-0.73,1.377886
-0.72,1.371392
-0.71,1.364898
-0.70,1.358404
-0.69,1.351910
-0.68,1.345416
-0.67,1.338921
-0.66,1.332427
-0.65,1.325933
-0.64,1.319439
-0.63,1.312945
-0.62,1.306451
-0.61,1.299957
-0.60,1.293463
-0.59,1.286969
-0.58,1.280475
-0.57,1.273981
-0.56,1.267487
-0.55,1.260993
-0.54,1.254498
-0.53,1.248004
-0.52,1.241510
-0.51,1.235016
-0.50,1.228522
-0.49,1.222028
-0.48,1.215534
-0.47,1.209040
-0.46,1.202546
