Axial Position x, Normalized Nozzle Radius r
-5.000,2.500000
-4.994,2.496915
-4.987,2.493831
-4.981,2.490746
-4.974,2.487661
-4.968,2.484577
-4.961,2.481492
-4.955,2.478407
-4.949,2.475323
-4.942,2.472238
-4.936,2.469153
-4.929,2.466068
-4.923,2.462984
-4.916,2.459899
-4.910,2.456814
-4.904,2.453730
-4.897,2.450645
-4.891,2.447560
-4.884,2.444476
-4.878,2.441391
-4.871,2.438306
-4.865,2.435222
-4.859,2.432137
-4.852,2.429052
-4.846,2.425968
-4.839,2.422883
-4.833,2.419798
-4.826,2.416714
-4.820,2.413629
-4.814,2.410544
-4.807,2.407459
-4.801,2.404375
-4.794,2.401290
-4.788,2.398205
-4.782,2.395121
-4.775,2.392036
-4.769,2.388951
-4.762,2.385867
-4.756,2.382782
-4.749,2.379697
-4.743,2.376613
-4.737,2.373528
-4.730,2.370443
-4.724,2.367359
-4.717,2.364274
-4.711,2.361189
-4.704,2.358105
-4.698,2.355020
-4.692,2.351935
-4.685,2.348850
-4.679,2.345766
-4.672,2.342681
-4.666,2.339596
-4.659,2.336512
-4.653,2.333427
-4.647,2.330342
-4.640,2.327258
-4.634,2.324173
-4.627,2.321088
-4.621,2.318004
-4.614,2.314919
-4.608,2.311834
-4.602,2.308750
-4.595,2.305665
-4.589,2.302580
-4.582,2.299495
-4.576,2.296411
-4.569,2.293326
-4.563,2.290241
-4.557,2.287157
-4.550,2.284072
-4.544,2.280987
-4.537,2.277903
-4.531,2.274818
-4.524,2.271733
-4.518,2.268649
-4.512,2.265564
-4.505,2.262479
-4.499,2.259395
-4.492,2.256310
-4.486,2.253225
-4.479,2.250141
-4.473,2.247056
-4.467,2.243971
-4.460,2.240886
-4.454,2.237802
-4.447,2.234717
-4.441,2.231632
-4.434,2.228548
-4.428,2.225463
-4.422,2.222378
-4.415,2.219294
-4.409,2.216209
-4.402,2.213124
-4.396,2.210040
-4.389,2.206955
-4.383,2.203870
-4.377,2.200786
-4.370,2.197701
-4.364,2.194616
-4.357,2.191532
-4.351,2.188447
-4.345,2.185362
-4.338,2.182277
-4.332,2.179193
-4.325,2.176108
-4.319,2.173023
-4.312,2.169939
-4.306,2.166854
-4.300,2.163769
-4.293,2.160685
-4.287,2.157600
-4.280,2.154515
-4.274,2.151431
-4.267,2.148346
-4.261,2.145261
-4.255,2.142177
-4.248,2.139092
-4.242,2.136007
-4.235,2.132923
-4.229,2.129838
-4.222,2.126753
-4.216,2.123668
-4.210,2.120584
-4.203,2.117499
-4.197,2.114414
-4.190,2.111330
-4.184,2.108245
-4.177,2.105160
-4.171,2.102076
-4.165,2.098991
-4.158,2.095906
-4.152,2.092822
-4.145,2.089737
-4.139,2.086652
-4.132,2.083568
-4.126,2.080483
-4.120,2.077398
-4.113,2.074314
-4.107,2.071229
-4.100,2.068144
-4.094,2.065059
-4.087,2.061975
-4.081,2.058890
-4.075,2.055805
-4.068,2.052721
-4.062,2.049636
-4.055,2.046551
-4.049,2.043467
-4.042,2.040382
-4.036,2.037297
-4.030,2.034213
-4.023,2.031128
-4.017,2.028043
-4.010,2.024959
-4.004,2.021874
-3.997,2.018789
-3.991,2.015705
-3.985,2.012620
-3.978,2.009535
-3.972,2.006450
-3.965,2.003366
-3.959,2.000281
-3.952,1.997196
-3.946,1.994112
-3.940,1.991027
-3.933,1.987942
-3.927,1.984858
-3.920,1.981773
-3.914,1.978688
-3.908,1.975604
-3.901,1.972519
-3.895,1.969434
-3.888,1.966350
-3.882,1.963265
-3.875,1.960180
-3.869,1.957095
-3.863,1.954011
-3.856,1.950926
-3.850,1.947841
-3.843,1.944757
-3.837,1.941672
-3.830,1.938587
-3.824,1.935503
-3.818,1.932418
-3.811,1.929333
-3.805,1.926249
-3.798,1.923164
-3.792,1.920079
-3.785,1.916995
-3.779,1.913910
-3.773,1.910825
-3.766,1.907741
-3.760,1.904656
-3.753,1.901571
-3.747,1.898486
-3.740,1.895402
-3.734,1.892317
-3.728,1.889232
-3.721,1.886148
-3.715,1.883063
-3.708,1.879978
-3.702,1.876894
-3.695,1.873809
-3.689,1.870724
-3.683,1.867640
-3.676,1.864555
-3.670,1.861470
-3.663,1.858386
-3.657,1.855301
-3.650,1.852216
-3.644,1.849132
-3.638,1.846047
-3.631,1.842962
-3.625,1.839877
-3.618,1.836793
-3.612,1.833708
-3.605,1.830623
